Category,Name,Followers,Views,UserName,Gender,Gender_Perchantage
"Education, Comedy, Vlog",Ⓕ ⓡ ⓐ ⓝ ⓚ ⓐ,397.3K,94.5K,@thetransgenderfairy,Female,84%
"Comedy, , ",They call me RIDDLE QUEEN👸,348.9K,315.7K,@mommynkiaan,Female,79%
"Dance, Family & Parenting, Vlog",Chad Ehlers,2.4M,339K,@da_chad,Female,81%
"Comedy, Vlog, ",DJHUNTS,6.1M,403.3K,@djhuntsofficial,Male,54%
"Dance, Vlog, ",Rami,9.5M,5.3M,@ramizeinn,Female,59%
"Vlog, Comedy, Family & Parenting",Jack 🧩,912.8K,266.4K,@djack_pbt,Female,66%
"Comedy, Vlog, ",Static 2.0😄,5.5M,609.9K,@jonathanrivera04,Female,52%
"Comedy, Vlog, ",Austin Tyler,1.9M,1M,@austintarmstrong,Female,69%
"Drama, Comedy, Vlog",Patricia Herfort,782.3K,973.7K,@patriciaherfort,Female,73%
"Comedy, Vlog, ",Tay,2.7M,1.3M,@vibin.wit.tay,Female,65%
"Love & Dating, Comedy, Vlog",Spencer Paskach,1.2M,497.5K,@spents,Female,91%
"Dance, Comedy, Vlog",Officer Kingery,2.3M,266.5K,@officer_kingery,Female,81%
"Comedy, , ",majorkeylife,3.4M,973K,@majorkeylife,Female,61%
"Comedy, Vlog, ",Ryan Doka,1.6M,2.5M,@dokaryan,Male,54%
"Comedy, Food Art & Discovery, +1",Agnès 🦋,115.3K,78.9K,@bananagnes,Female,93%
"Comedy, Vlog, ",Rob Anderson,1.7M,1.1M,@heartthrobert,Female,62%
"Traditional Sports, Comedy, Vlog",Équipe De France,1.1M,3.5M,@france.fff,Male,72%
"Dance, Other Performance, Vlog",Kaylee Herring,935.6K,535.8K,@kayleekawaii,Female,86%
"Comedy, Vlog, ",Unaverage Student,1.2M,5.3M,@fayneee,Male,55%
"Comedy, Vlog, ",Mario Caruso,330.3K,698.4K,@mariocarus.o,Male,58%
"Dance, Vlog, Family & Parenting",kt huntley,5.8M,708.1K,@kthuntley,Female,92%
"Pop Culture, Interviews, Comedy",comedybaby,2M,561.7K,@itscomedybaby,Female,79%
"Comedy, Vlog, ",Basel Gazioglu,3.6M,766.1K,@baselaughs,Male,52%
"Traditional Sports, Comedy, Vlog",Dawson🥴,3M,1.3M,@dawsonish,Female,65%
"Comedy, Video Games, ",Michael C,3.6M,994.8K,@mcsquared90,Male,53%
"Comedy, Vlog, Celebrity Account",bucket bo,3.6M,791K,@bomiiao,Female,57%
"Comedy, Vlog, ",Nathan Connor,538.6K,531.7K,@nathanconnortv,Male,68%
"Dance, Comedy, Vlog",Scott Henry,2.2M,193.7K,@scottdhenry,Female,80%
"Dance, Love & Dating, +1",Tiffany & Chandler,2.1M,379.4K,@tiffandchan,Female,84%
"Comedy, Vlog, ",morris🙈,1.7M,407.9K,@morrisgotkicks,Female,61%
"Dance, Vlog, ",your worst nightmare,1.2M,146.4K,@dunkaren,Female,85%
"Comedy, Vlog, ",MikeCakez 🌖,3.1M,1.8M,@mikecakez,Male,54%
"Drama, Comedy, Vlog",Chad Epps 🦒,5M,1.3M,@chadio,Female,53%
"Comedy, Vlog, ",Ajani🐟👁,1.4M,162.8K,@issajanis,Male,52%
"Dance, Family & Parenting, Vlog",Gio,831.5K,1.7M,@giofilmedthis,Female,86%
"Family & Parenting, Comedy, Vlog",Tuchiquitobombon,1.8M,184.7K,@ricombnm,Male,54%
"Comedy, Drama, Education",Mackenzie Barmen,2.3M,428.8K,@mackenziebarmen,Female,80%
"Drama, Comedy, Vlog",blake,1.8M,3.8M,@countingschleeps,Female,86%
"Comedy, , ",Yeol Ayres D.A.,3.3M,2.1M,@01ayres,Female,81%
"Art, Comedy, Vlog",gothgoingeasy 😏,960.4K,180.2K,@easygoinggoth,Female,73%
"Comedy, Vlog, ",G O L D O,1M,794.8K,@nicholasgoldoni_,Male,53%
"Dance, , ",SauceyAustin😍😍,3.5M,324.2K,@saucey_austin,Female,89%
"Comedy, Vlog, ",Cameron Perez,732.7K,2.3M,@outtpig,Female,76%
"Comedy, Animation & Cartoon, ",L´EAU it's wet ✅,1.1M,1.2M,@ellimcaa,Female,74%
"Drama, Comedy, Vlog",maeee_ms,171.8K,518.6K,@maeee_ms,Female,73%
"Dance, Cosplay, ",THE PRESIDENTS,1.7M,2.3M,@thepresiidents,Female,79%
"Dance, Drama, Vlog",Tobi:),2.3M,509.3K,@tobi.you,Female,89%
